from,to
104,77
82,77
82,77
118,77
93,77
94,77
63,77
29,77
94,77
64,77
106,77
69,77
69,77
106,77
78,77
78,77
87,77
87,77
100,77
100,77
88,77
88,77
109,77
50,77
89,77
89,77
59,77
59,77
111,77
60,77
77,77
117,77
156,77
156,77
136,77
134,77
77,77
97,77
95,77
98,77
98,77
96,77
96,77
121,77
92,77
20,77
90,77
90,77
20,77
65,77
68,77
68,77
24,77
68,77
68,77
33,77
33,77
33,77
72,77
72,77
79,77
79,77
34,77
34,77
52,77
52,77
52,77
34,77
114,77
130,77
75,77
75,77
86,77
103,77
86,77
116,77
85,77
85,77
101,77
101,77
113,77
58,77
84,77
18,77
110,77
110,77
78,111
89,111
94,111
77,111
96,111
85,111
75,111
72,111
34,111
52,111
68,111
214,0
63,0
64,0
60,0
134,0
97,0
9,0
149,0
61,0
1,0
55,0
207,0
62,0
72,0
33,0
34,0
52,0
68,0
24,0
28,0
65,0
20,0
57,0
217,0
113,0
58,0
132,0
75,0
86,0
14,0
78,0
115,0
142,0
53,0
213,0
59,0
48,0
206,0
141,0
75,117
86,117
85,117
72,117
34,117
52,117
136,117
77,117
95,117
98,117
96,117
87,117
78,117
89,117
59,117
80,117
106,117
94,117
21,134
20,134
19,134
182,134
24,134
62,134
196,134
1,134
82,134
34,134
52,134
52,134
33,134
60,134
77,134
96,134
57,134
14,134
15,134
86,134
59,134
40,134
78,134
64,60
63,60
94,60
14,60
86,60
57,60
58,60
113,60
132,60
34,60
52,60
72,60
33,60
142,60
41,60
89,60
59,60
115,60
78,60
77,60
0,60
61,60
1,60
83,60
62,60
56,60
55,60
20,60
65,60
24,60
68,60
95,136
96,136
77,136
118,136
59,136
78,136
33,136
72,136
75,136
114,136
75,226
85,226
94,226
135,226
74,156
94,156
100,156
78,156
75,156
85,156
110,156
72,156
79,156
52,156
34,156
98,156
95,156
96,156
77,156
72,169
161,169
33,202
20,237
100,135
75,135
114,135
177,135
178,135
85,135
18,135
84,135
52,135
72,135
156,135
95,135
96,135
54,135
63,97
64,97
1,97
34,97
72,97
20,97
65,97
77,97
0,97
97,97
211,97
78,97
151,97
59,97
152,97
78,155
75,155
72,155
95,155
117,98
77,98
156,98
77,98
96,98
95,98
85,98
101,98
86,98
127,98
178,98
102,98
130,98
75,98
103,98
176,98
58,98
84,98
110,98
69,98
64,98
106,98
93,98
94,98
63,98
33,98
33,98
34,98
52,98
34,98
79,98
72,98
109,98
88,98
87,98
100,98
41,98
89,98
59,98
78,98
68,98
28,98
24,98
27,98
120,98
92,98
19,98
20,98
90,98
65,98
104,98
82,98
54,98
54,98
124,98
70,98
61,98
72,170
92,170
121,185
157,185
131,185
86,185
13,185
34,185
52,185
33,95
34,95
52,95
52,95
72,95
79,95
92,95
68,95
24,95
175,95
68,95
90,95
65,95
20,95
54,95
80,95
54,95
82,95
104,95
70,95
61,95
218,95
1,95
59,95
89,95
59,95
50,95
88,95
100,95
87,95
78,95
77,95
135,95
117,95
136,95
156,95
96,95
155,95
98,95
75,95
178,95
102,95
116,95
103,95
114,95
86,95
130,95
101,95
85,95
113,95
110,95
18,95
180,95
84,95
58,95
63,95
94,95
93,95
118,95
106,95
69,95
54,96
80,96
3,96
70,96
61,96
1,96
104,96
82,96
33,96
34,96
34,96
52,96
72,96
79,96
94,96
118,96
63,96
69,96
106,96
133,96
110,96
132,96
84,96
58,96
18,96
128,96
178,96
116,96
86,96
102,96
75,96
176,96
101,96
85,96
59,96
50,96
